taxon_sciname,redlist_category,tot_catch_mt,tot_value_usd,usd_mt_avg,usd_mt_2014,iucn_taxonid,assessment_id,assessment_date,scopes,phylum_name,order_name,class_name,family_name,redlist_criteria,threats,conservation_actions,population_trend,population,systems,spp_yn,taxa_group,record_cat
Conger orbignianus,LC,632.9584983,1191372.616,1882.228644,2145.018111710246,195016,122369597,2013-12-09,Global,CHORDATA,ANGUILLIFORMES,ACTINOPTERYGII,CONGRIDAE,NA,"There are no known threats to this species. However, it is known to be caught as bycatch by trawl fisheries off the South American coast (Nakamura <em>et al</em>. 1986).",There are currently no conservation measures in place for this species. More research is needed regarding the current population status and possible threats.,Unknown,No information is currently known regarding the population status of this species.,Marine,yes,Teleost,spp_not_th
Congresox talabonoides,None,1381.2636,3526070.229,2552.78589,2872.248316999998,NA,NA,1900-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,Teleost,spp_unknown_status
Congridae,None,34526.14482,70127330.22,2031.137,2400.5527513916477,NA,NA,1900-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,Teleost,aggregated
Conodon nobilis,LC,1024.488301,2730124.905,2664.866844,2675.790634348273,194414,115334448,2011-03-01,Global,CHORDATA,PERCIFORMES,ACTINOPTERYGII,HAEMULIDAE,NA,"This species is caught as a target fish and also as bycatch. Juvenile bycatch is extremely high in Mexican, Brazilian, and some Venezuelan shrimp trawl fisheries. There is little information on landings. There may be localized declines, but these threats are not considered to be impacting global populations. Pinsky (2011) found that one <em>C. nobilis </em>fishery may be susceptible to collapse due to low population numbers based on stock assessments from two landings databases. Another possible threat is habitat degradation, particularly in estuarine habitats.","There are no known species-specific conservation measures in place.&#160;In Brazil, there is a quota for this species in the aquarium trade.",Unknown,"This species is common and can be locally abundant. During a bottom otter trawl survey of Benevente Bight in the Central Brazil Shelf ecosystem from 2003-2004, the average catch rate for <em>Conodon nobilis</em> was 6 individuals hour<sup>-1</sup> and 117 g hour<sup>-1</sup>. &#160;Ninety percent of the <em>C. nobilis </em>catch was taken in summer months (Pinheiro <em>et al</em>. 2009). During monthly sampling between March 1999 and January 2000 off the Parana Coast in Southern Brazil, <em>C. nobilis</em> had a frequency of occurrence in trawls of 80% (Chaves <em>et al. </em>2003).&#160;There is limited species-specific landings data for this species. Catch data in the Gulf of Mexico show a decline from 2000-2005 in the mixed-haemulid category and a subsequent increase from 2006-2012 (NMFS Commercial Landings Database).",Marine,yes,Teleost,spp_not_th
Cookeolus japonicus,LC,2,7485.01125,3742.505625,3742.505625,190255,1946231,2013-01-29,Global,CHORDATA,PERCIFORMES,ACTINOPTERYGII,PRIACANTHIDAE,NA,There are no known major threats to this species.<br/><strong><br/></strong>,There are no species-specific measures in place for this species.,Unknown,"<em>Cookeolus japonicus</em> has 128 records found in museum collections (Accessed through Fishnet 2 Portal, www.fishnet2.net, 1 November 2012). It is an occasional species at Ngazidja (Grand Comoro) Island, Western Indian Ocean (Heemstra <span style=""""font-style: italic;"""">et al.</span> 2006).&#160;There are only a few records of this species from the Caribbean (R. Robertson pers. comm. 2013). There are no known records of this species from the Gulf of Mexico (Accessed through Fishnet 2 Portal, www.fishnet2.net, 2 April 2014). However, there are records of <em>Cookeolus japonicus </em>from the southern Atlantic coast. There are four known records of this species from off the coast of North Carolina, and five known records from off the coast of Virginia (accessed through Fishnet 2 Portal, <a href=""""http://www.fishnet2.net"""">www.fishnet2.net</a>, 2 April 2014).",Marine,yes,Teleost,spp_not_th
Coregonus,None,8382.699471,16660406.16,1987.475063,1875.8157897727867,NA,NA,1900-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,Teleost,aggregated
Coregonus albula,None,11107.48178,16732741.77,1506.438823,1085.3849407760779,NA,NA,1900-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,Teleost,spp_unknown_status
Coris julis,LC,4,5852.280796,1463.070199,1463.070199,187752,8621739,2009-02-11,Global,CHORDATA,PERCIFORMES,ACTINOPTERYGII,LABRIDAE,NA,"In some areas of the Mediterranean this species is caught in commercial fisheries. Many specimens are also captured for the local aquarium trade. In the Macaronesian islands it is caught in the small-scale, artisanal fishery (P. Afonso pers. comm. 2008).","There are no species specific conservation measures in place for this species. However, it can be found within Marine Protected Areas within its distributional range.",Stable,"Populations of this species are apparently increasing in the Gulf of Lion (France, north-western Mediterranean Sea). This may be explained by water temperatures having increased there due to the construction of numerous dams on the Rhone River, which have reduced cold water inflow, though climate change may also be playing a part. Another hypothesis which has been offered to help explain these population increases could possibly be the installation of artificial reefs, providing an increase in suitable reef habitat.",Marine,yes,Teleost,spp_not_th
Coryphaena,None,195427.6746,430976747,2205.300492,1642.093001744284,NA,NA,1900-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,Teleost,aggregated
Coryphaena hippurus,LC,330738.4181,780183978.2,2358.915492,2445.2296738360646,154712,4614989,2010-09-17,Global,CHORDATA,PERCIFORMES,ACTINOPTERYGII,CORYPHAENIDAE,NA,"There are no major threats known to this species. However, it is of high commercial value, with a global catch of 58,076 t in 2005, and is extensively harvested throughout its range (FAO-FIGIS 2005). There have been observed declines in catch in the Eastern Pacific, but this is thought to be a consequence of higher catches during El Niño events.<br/><br/>This species is caught in various types of fishing gear, including longlines, purse seine vessels, and recreational fishing vessels (Palko <span style=""""font-style: italic;"""">et al</span>. 1982). It is one of the most important species in artisanal fisheries around the world.<br/><br/>In the Mediterranean, this species is caught in association with fish attracting devices (FADS), trolling line and sport fisheries. These attracting devices such as floating bundles of bamboo reeds or cork planks are used to concentrate Dolphinfish before nets are set. The use of FADS are increasing the bycatch of this species (Nelson pers. comm. 2010). Small quantities are taken as bycatch in longline and driftnet fisheries.<br/><br/>The Caribbean Regional Fisheries Mechanism (CRFM) recognizes that the lack of any institutional framework or regional body for collaborative or shared management of this resource is a concern given the increasing catches of this species in the region (CRFM 2006).","It is considered a highly migratory species under Annex I of the 1982 Convention on the Law of the Sea.<br/><br/>In Ecuador, there is a minimum catch size of 70 or 80 cm. In Mexico, there are area-closures for commercial fishing for this species, and a two fish sport limit. In the past, there have been conservation measures implemented by the Inter-American Tropical Tuna Commission (IATTC) for no purse-seine fishing. In Ecuador, 50% of the fishing fleet, including those for tunas, use an experimental sorting grid to release juveniles, small tunas and other bycatch species. In 2005, a recreational fishing limit of five fish per fishermen per fishing day was established for this species in Puerto Rico (Rodrigues-Ferrer <span style=""""font-style: italic;"""">et al</span>. 2006).<br/><br/>In the U.S., there are bag limits and size limits in the recreational fishery and size and trip limits in the commercial fishery (SAFMC 2003).<br/><br/>This species' distribution overlaps with a number of marine protected areas.",Stable,"From 1961 to 2006, the reported worldwide landings for this species from FAO have gradually increased from 17,000 metric t, to a peak of 59,000 metric t (in 2005). In 2005, Japan reported 10,000 tonnes and Taiwan Province of China approximately 15,000 t.<br/><br/>In the Eastern Pacific, this species can be locally abundant. Data from the Inter-American Tropical Tuna Commission (IATTC 2008) from 1976–2005 widely varies from 200 to 22,000 metric t, with a maximum of 22,000 metric t in 2001. Although there are no data on fishing effort, demand has not decreased. However, there have been many regional fishermen reporting that catches are decreasing, especially in Costa Rica and Ecuador where there are possibly localized declines in catch rates. In Peru, catch of this species is highly fluctuating; there was a catch in 2005–2006 of 2,000 and 4,000 mt by the artisanal fleet, but in 1998 21,000 t were caught after an El Niño event.<br/><br/>There is some evidence of multiple populations based on biological and morphological characteristics (Oxenford and Hunt 1986, Lessa <span style=""""font-style: italic;"""">et al</span>. 2008, Duarte-Neto <span style=""""font-style: italic;"""">et al</span>. 2008), however there is genetic connectivity between migratory groups in the Atlantic, Caribbean and Gulf of Mexico. The Caribbean Regional Fisheries Mechanism (CRFM 2006) stock assessment recognized the uncertainty about stock structure and conducted separate analyses (one that recognizes separate north and southern stocks and one combining both). The conclusion from all of the assessments was that there was no decline in catch per unit effort (CPUE) indices and therefore the fishery appears sustainable at current levels. They did note the uncertainty and the need for more data from other countries within the stock area.<br/><br/>The Caribbean Regional Fisheries Mechanism (CRFM) 2010 stock assessment analysed data from the Caribbean, Venezuela, Brazil and the U.S. that corroborates that this species migrates from northern Brazil to the eastern Caribbean and may also enter the southeastern Caribbean Sea. The standardized CPUE indices for the eastern Caribbean corroborates that the stock is not declining. In Brazil there is evidence of at least two stocks, one in northern Brazil (shared with the Caribbean) and one in the northeastern Brazilian coast (Lessa <span style=""""font-style: italic;"""">et al</span>. 2008). Although there is uncertainty in the data, the stock assessment in the northeast indicated that the stock is fully exploited (Lessa <span style=""""font-style: italic;"""">et al</span>. 2009).<br/><br/>This species is widespread and is very common in the Mediterranean, and catches are increasing. The average catch from 2000 to 2009 was about 8,000–10,000 t per year (FAO 2009). Off the coast of Turkey it is seasonally common. FAO landing figures are available from Tunisia, Malta and Spain. Most of the current catch figures are from Tunisia and Spain and are currently increasing. Catches from Malta have remained relatively stable since 1950. The distribution of this species is expanding to the northern part of the western Mediterranean. Catches are much higher in late summer and early autumn.",Marine,yes,Teleost,spp_not_th
Coryphaenoides rupestris,CR,13798.2688,17416106.48,1262.195043,1338.988513451623,15522149,15603540,2012-07-11,Global,CHORDATA,GADIFORMES,ACTINOPTERYGII,MACROURIDAE,A4bd,"<span style=""""font-style: italic;"""">Coryphaenoides rupestris </span>is one of the main target species of deepwater fisheries in the Northeast Atlantic (Lorance <em>et al</em>. 2008). It is currently facing overexploitation in the North Atlantic. The flesh of this valuable commercial fish is of excellent texture and taste, and is consumed directly. The fisheries for this species is by factory stern trawlers, which may fish as deep as 1,300 m (Cohen <em>et a</em><span style=""""font-style: italic;"""">l.</span> 1990).<br/><br/>The commercial fishery for this species began in 1965, with 1,800 metric tonnes harvested globally and peaked in 1971 at 83,964 metric tonnes&#160; The catch decreased thereafter; the most recent report (2010) is 7,611 metric tonnes (FAO FishStat). This represents a decline of 90% over 40 years. However, in the eastern Atlantic portion of its range it is not fished as heavily. Therefore, this species may be afforded some refuge from over-exploitation in this part of its range.<br/><br/>Landings of Roundnose Grenadier peaked in the early 1970s at approximately 80,000 metric tons and then declined abruptly (Koslow <em>et al</em>. 2000). As with many new fisheries, the initial quota was set quite high but was never achieved. As catches declined, subsequent quota revisions and reductions were not based on any particular biological or assessment information, primarily because that information was severely lacking (Atkinson 1995). The number of biological papers concerning the species were very few and most basic biological information was not gathered until 15–25 years after the fishery began (Haedrich <em>et al</em>. 2001). By the early&#160;1990s, the fishery in the Northwest Atlantic was no longer commercially viable and came to a halt.<br/><br/>The Canadian survey data have been claiming (in litt.) to be non-representative because they sample only the edge of the population, an unwarranted and troubling assumption. Conservation ecology has shown that trouble at the edge of a range presages trouble over the entire range (Channell and Lomolino 2000, Fraser 2000). Furthermore, deep populations of slope species are not separate from shallow ones because of ontogenetic migrations. Coryphaenoides move up and down the slope seasonally, migrating to shallower water at the end of summer and shifting deeper in winter (Dushchenko and Savvatimsky 1987,Paz and Iglesias 1994). <em>Macrourus</em> also migrate seasonally (Paz and Iglesias 1994) and follow the ‘bigger–deeper’ rule in the northwest Atlantic, with smaller juveniles generally occurring shallower than the larger adults (Savvatimsky and Gorchinsky 2001). Savvatimsky and Gorchinsky (2001) hypothesized that Roughhead Grenadier in NAFO Divisions 0B2GHJ3KLMN are a single stock based on size age composition, although the isolation of the Flemish Cap from the Grand Banks by the cold waters of the Labrador Current&#160;render this conclusion questionable.<br/><span class=""""sheader5"""">","This species has been listed as Endangered in Canada (Devine <em>et al.&#160;</em>2006). Given the dramatic declines in global catch over three generation lengths, future monitoring and reduction in catch is recommended. It has been suggested that increasing mesh sizes would be an efficient management strategy to avoid the discards of smaller individuals (Lorance and Dupouy 2001). This is a UK priority species in the Joint Nature Conservation Committee (retrieved 21-12-55).",Unknown,"The commercial fishery for this species began in 1965, with 1,800 metric  tonnes harvested globally and peaked in 1971 at 83,964 metric tonnes.  The catch decreased thereafter; the most recent report (2010) is 7,611  metric tonnes (FAO FishStat). This represents a decline of 90.6% over 40  years.",Marine,yes,Teleost,spp_th
Cottidae,None,16.56427055,131737.313,7953.100776,9715.544602499998,NA,NA,1900-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,Teleost,aggregated
Cottoperca gobio,None,215.2919973,326759.429,1517.75,1458.2282758398476,NA,NA,1900-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,Teleost,spp_unknown_status
Crangon crangon,None,365492.6524,1823562838,4989.328311,3487.013228001568,NA,NA,1900-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,Invertebrate,spp_unknown_status
Crangonidae,None,129.1977137,586834.4597,4542.142758,4542.142758,NA,NA,1900-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,Invertebrate,aggregated
Crassostrea,None,600.3974323,753048.5576,1254.25013,678.179599446826,NA,NA,1900-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,Invertebrate,aggregated
Crassostrea gigas,None,144907.5895,310682223.8,2144.002429,1392.5671462227854,NA,NA,1900-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,Invertebrate,spp_unknown_status
Crassostrea rhizophorae,None,83.931,175213.1204,2087.585283,1630.7344509999998,NA,NA,1900-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,Invertebrate,spp_unknown_status
Crassostrea virginica,None,829097.1965,7698835890,9285.806203,9888.62792891496,NA,NA,1900-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,Invertebrate,spp_unknown_status
Crenidens crenidens,LC,3.384763206,1610.003505,475.6620795,481,170216,1294924,2009-12-01,Global,CHORDATA,PERCIFORMES,ACTINOPTERYGII,SPARIDAE,NA,"Current threats to&#160;<em>Crenidens crenidens </em>are unknown; however, possible threats&#160;include habitat degradation and pollution of estuarine habitats. Further research will be required to determine major threats to this species.","There are no species-specific conservation measures in place for&#160;<em>Crenidens crenidens.</em>&#160;Although&#160;its distribution overlaps several marine protected areas within its range (World Database of Protected Areas, accessed 11 March 2014) the quality of protection in these protected areas is unknown.",Unknown,"In the northern part of its distribution&#160;<em>C. crenidens</em>&#160;is caught year round in small quantities with trammel nets and beach seines and consumed fresh (Fischer and Bianchi 1984). In the southern part it is caught principally for bait with seine nets or on small baited hooks. This species is marketed fresh (for bait) or dried (Fischer and Bianchi 1984).&#160;FAO capture production in Saudi Arabia was 17 tonnes in 2000, 638 tonnes in 2002 and 10 tonnes in 2004.",Marine,yes,Teleost,spp_not_th
Cromileptes altivelis,DD,6.639262691,44884.42901,6760.453849,6835.312273499995,39774,100458943,2016-11-20,Global,CHORDATA,PERCIFORMES,ACTINOPTERYGII,EPINEPHELIDAE,NA,"<p>&#160;The continued high demand and price for this species in the Hong Kong live reef fish market will likely encourage increased fishing effort and overexploitation. Once Indonesian populations are no longer viable for fishing, effort is likely to expand to target populations in other parts of its range such as southeast Asia countries.&#160;An illegal trade of<em> C. altivelis</em> (and other live reef food fishes) exists from the Philippines through Malaysia (Cabanban pers. comm. 2016). Much of the live fish imports into Hong Kong on live fish carrier vessels (as opposed to by air) is illegal as it is not declared to Hong Kong Customs (ADM Capital Foundation Report in prep March 2017).</p>","<p><em>Cromileptes</em><em>&#160;altivelis</em>&#160;is listed as an Endangered Species in Vanuatu (Endangered Species in Vanuatu&#160;accessed January 2006). It&#160;is also listed as a protected species under the Great Barrier Reef Marine Regulations 1983-Reg 29 and as Lower Risk (conservation dependent) in Australia (Conservation Status of Australian Fishes 2001&#160;accessed 18 January 2006). According to the Fisheries Coral Reef Fin Fish Management Plan of 2003, taking or possessing of <em>C. altivelis</em> in Queensland is prohibited by both state and federal agencies. However, it is permissible to take small numbers under permit for aquaculture (broodstock) purposes upon approval from both the state and federal governments (M. Rimmer pers. comm. 2006). The Department of Primary Industries Northern Fisheries Centre, Cairns, and the Department of Business Industry and Resources Development’s Darwin Aquaculture Centre hold wild-caught mature&#160;<em>C. altivelis</em>&#160;in captivity for the purposes of spawning and larval rearing research. Their objective is to supply the demand for live reef fish to Asian countries so as to lessen fishing pressure on natural stocks of reef fish in Australia (Bowater&#160;<em>et al.</em>&#160;2003). The success of this program is not known. The minimum size limit for exporting <em>C. altivelis</em>&#160;from Papua New Guinea is 40 cm total length (Live Reef Fish Food Trade in Papua New Guinea accessed January 2006).</p>",Decreasing,"<p>This species is targeted for sale in the live reef food fish trade (LRFFT) and is likely experiencing population declines in areas where fisheries that supply this market operate. Individuals are taken in quite high numbers according to general observations and anecdotal information (Lee and Sadovy 1998) at about 40-70 cm length (Lau and Parry-Jones 1999). It is reported to be increasingly difficult to find for import into LRFFT markets, and Hong Kong-based traders have been forced to source their supply from increasingly distant localities (Anon to Y. Sadovy pers. comm. 2016). Fishery independent and dependent abundance data for this species is very scarce and no formal stock assessments have been completed. Data that are available have been generally sporadically collected and assessments have not used standardized methodologies, which causes substantial uncertainty in population trend analyses. The landing and export volumes of&#160;<em>C. altivelis</em>&#160;are lacking or incomplete. For example, official figures from Indonesia are not species-specific and report all grouper species in the same statistics. The Census and Statistics Department of the Hong Kong SAR Government have collected useful information on the imports of&#160;<em>C. altivelis&#160;</em>since 1997 (see Figure 1 in the Supplementary Material).<span style=""""""""> There is no general trend and imports fluctuated widely from 1997-2016.&#160;</span>In 1998, only three individuals (6 kg) of&#160;<em>C. altivelis</em>&#160;were exported from Papua New Guinea, which comprised 0.02% of all live reef fish exported (0.05% by weight) (Lokani and Kibikibi 1999).&#160;</p><p>General observations and several underwater visual censuses suggest this species is naturally uncommon to rare through most of its range, but the cryptic behavior of this species may be complicating its detection (CRC 2001, Halford and Russell 2001, Allen 2003, Halford 2004, Sabetian 2003). A study that specifically surveyed for cryptic groupers also concluded that <em>C. altivelis </em>is rare and patchily distributed in reef habitats (Pears 2005). Underwater surveys conducted in Indonesia recorded only 2.4 individuals per coral reef area of 2,000 m² in Bintan from 2004 to 2013, 2.4 in Raja Ampat in 2009, 1.9 in Wakatobi in 2010 and between 4.1 to 5.7 in Kalmas in 2007 and 2011 (S. Suharti LIPI CoreMap Project Indonesia pers. comm. 2016). This species was not recorded during an 80-hour scuba survey that sampled 60 sites in 2001 in Sangihe-Talud, Bali&#160;(Halford and Russell 2001). In a similar survey (70 hours and 57 sites sampled) in&#160;2002 in the Raja Ampat Islands, Indonesia, only five individuals of&#160;<em>Cromileptes altivelis</em>&#160;were observed (Allen 2003). No individuals of&#160;<em>C. altivelis</em>&#160;were observed during a 50-hour survey in 33 sampling sites in 2003 in the Wakatobi islands (Halford 2004). An underwater survey estimated the density of&#160;<em>C. altivelis</em>&#160;at less than 0.5 fish/m² in Kolombangara Island, Solomon Islands (Sabetian 2003).&#160;According to underwater surveys in early 2001,&#160;<em>C. altivelis</em>&#160;was relatively rare on mid- and outer-shelf reefs on the Great Barrier Reef, Australia (CRC 2001). The population of<em>&#160;C. altivelis&#160;</em>appears to be declining in New Caledonia (M. Kulbicki pers. comm. 2016). Abundance estimates of <em>C. altivelis </em>from New Caledonia were 0.063 individuals/1,000 m² and is consistent with other localities in terms of the extreme rarity of this species (L’Institut de recherche pour le développement database<span style="""""""">).</span></p> <br/> <p></p>",Marine,yes,Teleost,spp_unknown_status
Cyclopterus lumpus,None,65682.3335,182485286.1,2778.300898,2978.6117872157633,NA,NA,1900-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,Teleost,spp_unknown_status
Cymatoceps nasutus,VU,46,197245.0165,4287.93514,4719.549093500002,170204,1292756,2009-11-15,Global,CHORDATA,PERCIFORMES,ACTINOPTERYGII,SPARIDAE,A2bd,"<em>Cymatoceps nasutus</em> is extremely vulnerable to overexploitation due to its life history characteristics, including high residency, slow growth, late maturity, longevity, and hermaphroditism (Buxton and Clarke 1989). Their aggressive nature as dominant reef predators further accentuates their vulnerability to capture. Male and female sex ratios are heavily biased towards females, which is exacerbated by the removal of large males from the population (Murray and Cowley 2012). Although not known, is it suspected that females may be changing sex at a smaller length and a younger age as a result of overexploitation (T. Murray DIFS pers obs.).","<em>Cymatoceps nasutus</em> is currently managed with a minimum size limit of 50 cm TL and a daily bag limit of one fish per person per day for all fishery sectors (Department of Agriculture, Forestry, and Fisheries 2012). This species also occurs in several large no-take MPAs on the South African coast including De Hoop, Goukamma, Tsitsikamma, Sardinia Bay, Bird Island, Dwesa and the Pondoland MPAs. The Tsitsikamma National Park has&#160;been shown to provide an important refuge for juveniles and sub-adults of <em>C. nasutus </em>(Buxton and Smale 1989, Götz <em>et al</em>. 2008). As the adults probably spawn in the area between East London and St Lucia, the only MPAs which provide protection for adults of this species are the Amathole MPA, Dwesa-Cwebe MPA and the Pondoland MPA (B. Mann ORI unpublished data). MPAs are extremely important for the conservation of this species, especially due to the highly resident behaviour exhibited by juveniles and sub-adults (Murray and Cowley 2012). Data from no-take MPAs show that <em>C. nasutus </em>is significantly more abundant and of a larger mean size than in adjacent exploited areas&#160;(Maggs <em>et al.&#160;</em>2013), further supporting the importance of MPAs for the protection of this species.&#160;<br/><br/>The consideration of de-commercializing <em>C. nasutus</em>&#160;is suggested due to its low importance in the commercial fishery. Also recommended is the introduction of a slot size limit between 50 cm to 70 cm TL, to protect small resident individuals &lt;50 cm TL and large mature adults &gt;70 cm TL (Murray and Cowley 2012).",Decreasing,"<em>Cymatoceps nasutus</em>&#160;was heavily exploited throughout the 20th century which has led to a decrease in abundance and mean size (Penney <em>et al.</em>&#160;1999,&#160;Maggs <em>et al.</em>&#160;2013). Although a formal stock assessment has not been undertaken for <em>Cymatoceps nasutus</em>, the trend in catch per unit effort (CPUE) has declined significantly in KwaZulu-Natal (Penney <em>et al.</em> 1999) and it is estimated that the stocks have declined to ~20% of their historical values (Griffiths and Lamberth 2002). CPUE of <em>C. nasutus</em> in Tsitskamma National Park showed an increase from 1998 to 2005 CPUE (Götz <em>et al. </em>2008) while CPUE in the no-take zones of the Pondoland Marine Protected Area (MPA) was higher (0.37 fish/angler/hr) than in the adjacent exploited area (0.23 fish/angler/hr) from 2006 to 2011 (Maggs <em>et al.</em>&#160;2013).&#160;Using targeted commercial effort data, there has been a significant decline in CPUE from 0.43 kg/man/hr in 1985 to 0.33 kg/man/hr in 2007 (National Marine Linefish System unpublished data).&#160;Increasing mean annual CPUE (~55%) over the last eight years (between 1998 and 2005) in Tsitsikamma National Park&#160;was recorded&#160;(James<em>&#160;et al.</em> 2012); however, this figure should be viewed with caution as the generation time for <em>C. nasutus</em>&#160;is 16 years.&#160;<br/><br/>There was little change in total commercial catch between 1930–1933 (10 tonnes) and 1986–1987 (12 tonnes) in KwaZulu-Natal (Buxton and Clarke 1989). However, the total reported commercial catch for this species has declined from a peak of 25 tonnes in 1987 to less than four tonnes in 2003–2007 (National Marine Linefish System unpublished data).&#160;<br/><br/>The trend in catch composition is also thought to have declined in KwaZulu-Natal similarly to other large, slow growing, endemic sparids (Penney <em>et al.</em> 1999). A significant decline in catch composition was recorded in the Transkei between 1984 and 1992 due to voluntary cessation of catch by commercial fishers (Hecht and Buxton 1993).&#160;<br/><br/>Male to female sex ratios in the Eastern Cape were reported to be strongly biased in favour of females (1:6) (Buxton and Clarke 1989). Mean size of <em>C. nasutus</em>&#160;has decreased, with almost 100% of the current catch weighing less than five kg and catches of trophy fish by coastal recreational anglers that were once common are now extremely rare (Murray and Cowley 2012). Mean size of <em>C. nasutus</em>&#160;was significantly larger in the Pondoland MOA (41.7 cm FL) compared to the adjacent exploited area (38.0 cm FL) (Maggs <em>et al.</em> 2013).&#160;<br/><p>Commercial data show that since 2000, commercial fishing effort has declined dramatically in the South African line-fishery from approximately 3,000 to 450 vessels, in line with the long-term fisheries rights allocation process implemented in 2006 (Department of Agriculture, Forestry and Fisheries 2012).</p><p> </p>",Marine,yes,Teleost,spp_th
Cymbium,None,347.551926,413107.096,1188.619786,1188.619786,NA,NA,1900-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,Invertebrate,aggregated
Cynoglossidae,None,49.45016845,394883.5175,7985.483768,6375.000000000002,NA,NA,1900-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,Teleost,aggregated
Cynoscion,None,13579.77003,31214614.48,2298.61142,2555.9780291640986,NA,NA,1900-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,Teleost,aggregated
Cynoscion acoupa,LC,12230.57341,34621410.32,2830.726668,3492.0072485,154875,115247613,2009-02-04,Global,CHORDATA,PERCIFORMES,ACTINOPTERYGII,SCIAENIDAE,NA,"<em>Cynoscion acoupa</em> is an important commercial species, but there has been no apparent reduction in population size over the last 10 years (N.L. Chao pers. comm. 2009).&#160;  Juveniles are associated with mangrove habitats, however they also associate with soft-bottoms near river mouths.&#160;  Therefore at present, mangrove degradation occurring in this region is not considered a major threat to this species (N.L. Chao pers. comm. 2009).","There are no species-specific conservation measures in place for <em>Cynoscion acoupa</em>.&#160; However, its distribution may coincide with a number of marine protected areas.<br/><br/>Due to the large size and commercial importance of this species, continued monitoring of its harvest levels and population numbers is needed.",Unknown,<em>Cynoscion acoupa</em> is locally abundant around northeastern South America (N.L. Chao pers. comm. 2009).,Freshwater (=Inland waters)|Marine,yes,Teleost,spp_not_th
Cynoscion analis,LC,2724.019816,5053946.223,1855.326526,1978.0389730000002,183954,8205810,2007-05-25,Global,CHORDATA,PERCIFORMES,ACTINOPTERYGII,SCIAENIDAE,NA,There are no major threats known for this species.,"There are no known conservation measures for this species. However, this species' distribution falls partially into a number of Marine Protected Areas in the Eastern Pacific region (WDPA 2006).",Unknown,No population information is available for this species. It is considered a common species.,Marine,yes,Teleost,spp_not_th
